State,County,Tract,HHSize,HHWorkers,HHIncome,nHHs
6,17,30501,4+,1,low,14
6,17,30501,4+,2,low,20
6,17,30501,4+,3+,low,7
6,17,30501,1,0,med,31
6,17,30501,1,1,med,19
6,17,30501,2,0,med,33
6,17,30501,2,1,med,26
6,17,30501,2,2,med,21
6,17,30501,3,0,med,3
6,17,30501,3,1,med,9
6,17,30501,3,2,med,10
6,17,30501,3,3+,med,3
6,17,30501,4+,0,med,2
6,17,30501,4+,1,med,10
6,17,30501,4+,2,med,15
6,17,30501,4+,3+,med,5
6,17,30502,1,0,high,30
6,17,30502,1,1,high,19
6,17,30502,2,0,high,32
6,17,30502,2,1,high,25
6,17,30502,2,2,high,21
6,17,30502,3,0,high,3
6,17,30502,3,1,high,8
6,17,30502,3,2,high,10
6,17,30502,3,3+,high,2
6,17,30502,4+,0,high,2
6,17,30502,4+,1,high,10
6,17,30502,4+,2,high,14
6,17,30502,4+,3+,high,5
6,17,30502,1,0,low,38
6,17,30502,1,1,low,24
6,17,30502,2,0,low,41
6,17,30502,2,1,low,32
6,17,30502,2,2,low,27
6,17,30502,3,0,low,4
6,17,30502,3,1,low,11
6,17,30502,3,2,low,13
6,17,30502,3,3+,low,3
6,17,30502,4+,0,low,2
6,17,30502,4+,1,low,12
6,17,30502,4+,2,low,18
6,17,30502,4+,3+,low,7
6,17,30502,1,0,med,14
6,17,30502,1,1,med,9
6,17,30502,2,0,med,15
6,17,30502,2,1,med,12
6,17,30502,2,2,med,10
6,17,30502,3,0,med,1
6,17,30502,3,1,med,4
6,17,30502,3,2,med,5
6,17,30502,3,3+,med,1
6,17,30502,4+,0,med,1
6,17,30502,4+,1,med,5
6,17,30502,4+,2,med,7
6,17,30502,4+,3+,med,2
6,17,30503,1,0,high,29
6,17,30503,1,1,high,18
6,17,30503,2,0,high,31
6,17,30503,2,1,high,24
6,17,30503,2,2,high,20
6,17,30503,3,0,high,3
6,17,30503,3,1,high,8
6,17,30503,3,2,high,10
6,17,30503,3,3+,high,2
6,17,30503,4+,0,high,2
6,17,30503,4+,1,high,9
6,17,30503,4+,2,high,14
6,17,30503,4+,3+,high,5
6,17,30503,1,0,low,49
6,17,30503,1,1,low,31
6,17,30503,2,0,low,54
6,17,30503,2,1,low,42
6,17,30503,2,2,low,34
6,17,30503,3,0,low,5
6,17,30503,3,1,low,14
6,17,30503,3,2,low,17
6,17,30503,3,3+,low,4
6,17,30503,4+,0,low,3
6,17,30503,4+,1,low,16
6,17,30503,4+,2,low,24
6,17,30503,4+,3+,low,8
6,17,30503,1,0,med,20
6,17,30503,1,1,med,13
6,17,30503,2,0,med,22
6,17,30503,2,1,med,17
6,17,30503,2,2,med,14
6,17,30503,3,0,med,2
6,17,30503,3,1,med,6
6,17,30503,3,2,med,7
6,17,30503,3,3+,med,2
6,17,30503,4+,0,med,1
6,17,30503,4+,1,med,7
6,17,30503,4+,2,med,10
6,17,30503,4+,3+,med,3
6,61,20101,1,0,high,13
6,61,20101,1,1,high,8
6,61,20101,2,0,high,15
6,61,20101,2,1,high,11
6,61,20101,2,2,high,9
6,61,20101,3,0,high,1
6,61,20101,3,1,high,4
6,61,20101,3,2,high,5
6,61,20101,3,3+,high,1
6,61,20101,4+,0,high,1
6,61,20101,4+,1,high,4
6,61,20101,4+,2,high,6
6,61,20101,4+,3+,high,2
6,61,20101,1,0,low,113
6,61,20101,1,1,low,70
6,61,20101,2,0,low,123
6,61,20101,2,1,low,96
6,61,20101,2,2,low,79
6,61,20101,3,0,low,12
6,61,20101,3,1,low,32
6,61,20101,3,2,low,39
6,61,20101,3,3+,low,9
6,61,20101,4+,0,low,7
6,61,20101,4+,1,low,37
6,61,20101,4+,2,low,54
6,61,20101,4+,3+,low,19
6,61,20101,1,0,med,20
6,61,20101,1,1,med,12
6,61,20101,2,0,med,22
6,61,20101,2,1,med,17
6,61,20101,2,2,med,14
6,61,20101,3,0,med,2
6,61,20101,3,1,med,6
6,61,20101,3,2,med,7
6,61,20101,3,3+,med,2
6,61,20101,4+,0,med,1
