SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
3000752739,200,32,2,37593.7734,611,1440
3000755223,102,32,1,74391.06855,612,1442
3000759615,200,32,2,52890.403684,613,1443
3000759624,102,32,1,53523.3384,614,1445
3000761448,102,32,2,117241.5984,615,1446
3000761505,200,32,2,146498.89945,616,1448
3000761609,200,32,2,30797.159,617,1450
3000761613,200,32,1,25487.304,618,1452
3000762367,200,32,1,116816.81,619,1453
3000763341,200,32,4,120002.723,620,1454
3000764387,200,32,1,15398.5795,621,1458
3000764459,102,32,2,101949.216,622,1459
3000765977,200,32,2,31221.9474,623,1461
3000768808,102,32,1,42585.0371,624,1463
3000769670,200,32,2,13062.2433,625,1464
3000770117,102,32,2,50974.608,626,1466
3000771638,200,32,2,110699.85704,627,1468
3000772251,200,32,2,30690.9619,628,1470
3000773116,102,32,2,164180.71659999999,629,1472
3000774104,102,32,6,67966.144,630,1474
3000776589,102,32,1,52567.5645,631,1480
3000776703,200,32,1,9026.7535,632,1481
3000777432,102,32,2,339830.72,633,1482
3000778506,102,32,5,398239.125,634,1484
3000783475,102,32,4,143366.085,635,1489
3000783676,200,32,2,83152.3293,636,1493
3000787336,102,32,2,66904.173,637,1495
3000789106,200,32,4,159295.65,638,1497
3000790851,200,32,2,68390.9324,639,1501
3000792415,102,32,2,68284.7353,640,1503
3000794842,102,32,1,75612.3352,641,1505
3000795395,102,32,3,31859.13,642,1506
3000798670,102,32,1,29628.9909,643,1509
3000798859,200,32,2,65523.6107,644,1510
3000799404,102,32,4,227261.794,645,1512
3000801237,200,32,2,78054.8685,646,1516
3000801527,200,32,3,45877.1472,647,1518
3000802254,200,32,2,202910.79897,648,1521
3000804980,102,32,4,103011.187,649,1523
3000805616,102,32,2,134976.5141,650,1527
3000809953,102,32,3,732759.99,651,1529
3000812335,200,32,1,19115.478,652,1532
3000813273,200,32,1,44602.782,653,1533
3000814748,200,32,1,42691.2342,654,1534
3000815361,102,32,2,61594.318,655,1535
3000816121,200,32,4,48638.2718,656,1537
3000816953,102,32,2,42478.84,657,1541
3000817426,200,32,2,100207.58356,658,1543
3000818006,200,32,3,110869.7724,659,1545
3000818224,200,32,1,24212.9388,660,1548
3000818703,200,32,2,128498.491,661,1549
3000819234,200,32,1,50125.0312,662,1551
3000820319,200,32,3,84957.68,663,1552
3000820865,102,32,1,50974.608,664,1555
3000821914,200,32,3,26867.8663,665,1556
3000823411,102,32,4,31434.3416,666,1559
3000823793,102,32,1,10407.3158,667,1563
3000824080,102,32,3,96002.1784,668,1564
3000826130,102,32,4,135082.7112,669,1567
3000826851,200,32,3,95046.4045,670,1571
3000829055,102,32,4,414168.69,671,1574
3000830381,200,32,2,23469.5591,672,1578
3000830930,200,32,2,104073.158,673,1580
3000832647,200,32,2,53098.55,674,1582
3000835061,200,32,2,23044.7707,675,1584
3000836173,102,32,2,63930.6542,676,1586
3000836245,200,32,1,20708.4345,677,1588
3000837198,102,32,3,270802.605,678,1589
3000838633,200,32,2,134445.5286,679,1592
3000839838,102,32,1,46726.724,680,1594
3000839908,102,32,2,294909.3467,681,1595
3000841516,102,32,3,57877.419499999996,682,1597
3000841709,200,32,6,118940.752,683,1600
3000842293,102,32,1,30797.159,684,1606
