id,persons,children,femaleAdult,stayType,season
10059,2,1,-1,2,1
10060,5,1,-1,2,1
10069,3,1,-1,2,1
10080,2,0,-1,2,1
10098,2,0,-1,2,1
10101,2,0,-1,2,1
10102,2,0,-1,2,1
10103,1,0,-1,2,1
10137,3,1,-1,2,1
10138,4,1,-1,2,1
10139,2,1,-1,2,1
10141,3,1,-1,2,1
10144,2,0,-1,2,1
10147,2,0,-1,2,1
10148,5,2,-1,2,1
10152,3,0,-1,2,1
10154,2,0,-1,2,1
10155,2,0,-1,2,1
10158,7,0,-1,2,1
10162,3,0,-1,2,1
10165,1,0,-1,2,1
10194,2,0,-1,2,1
10195,2,0,-1,2,1
10229,3,1,-1,2,1
10236,2,0,-1,2,1
10239,5,2,-1,2,1
10240,2,0,-1,2,1
10250,5,0,-1,2,1
40023,3,1,-1,2,1
40033,1,0,-1,2,1
40036,5,3,-1,2,1
40037,5,2,-1,2,1
40038,4,2,-1,2,1
40040,2,0,-1,2,1
40041,4,2,-1,2,1
40042,4,2,-1,2,1
40043,4,2,-1,2,1
40045,2,0,-1,2,1
40065,5,3,-1,2,1
40101,5,3,-1,2,1
40107,1,0,-1,2,1
40116,2,0,-1,2,1
40117,2,0,-1,2,1
40120,1,0,-1,2,1
50034,4,2,-1,2,1
50035,4,2,-1,2,1
50039,5,3,-1,2,1
50040,6,2,-1,2,1
50041,2,0,-1,2,1
50042,4,2,-1,2,1
50045,3,0,-1,2,1
50046,3,0,-1,2,1
50050,3,1,-1,2,1
50053,2,0,-1,2,1
50054,2,0,-1,2,1
50055,1,0,-1,2,1
50057,4,0,-1,2,1
50058,2,0,-1,2,1
50062,3,0,-1,2,1
50087,3,1,-1,2,1
50091,6,0,-1,2,1
50098,2,0,-1,2,1
50109,8,6,-1,2,1
50127,3,1,-1,2,1
50144,3,0,-1,2,1
50153,1,0,-1,2,1
50154,1,0,-1,2,1
50156,1,0,-1,2,1
50160,3,0,-1,2,1
50161,3,0,-1,2,1
60020,3,1,-1,2,1
60032,2,0,-1,2,1
60033,1,0,-1,2,1
60034,1,0,-1,2,1
60035,2,0,-1,2,1
60036,3,0,-1,2,1
60038,4,2,-1,2,1
60048,3,0,-1,2,1
60049,2,0,-1,2,1
60057,6,1,-1,2,1
60059,5,3,-1,2,1
60092,4,0,-1,2,1
60106,3,2,-1,2,1
60114,3,0,-1,2,1
60122,2,0,-1,2,1
60125,4,2,-1,2,1
60130,4,2,-1,2,1
60173,4,0,-1,2,1
60174,4,0,-1,2,1
60175,2,0,-1,2,1
60176,2,0,-1,2,1
60188,4,2,-1,2,1
60193,4,1,-1,2,1
200015,2,0,-1,2,1
200022,4,1,-1,2,1
200024,2,0,-1,2,1
200025,1,0,-1,2,1
200028,8,6,-1,2,1
200029,6,4,-1,2,1
200042,6,4,-1,2,1
200047,1,0,-1,2,1
200048,1,0,-1,2,1
200049,1,0,-1,2,1
200050,1,0,-1,2,1
200051,4,1,-1,2,1
200052,5,2,-1,2,1
200053,4,2,-1,2,1
200054,5,5,-1,2,1
200055,4,2,-1,2,1
200056,2,1,-1,2,1
200057,4,2,-1,2,1
200058,4,0,-1,2,1
200059,4,0,-1,2,1
200060,4,0,-1,2,1
200061,4,0,-1,2,1
200063,4,2,-1,2,1
200064,2,0,-1,2,1
200066,4,1,-1,2,1
200067,3,2,-1,2,1
200068,4,2,-1,2,1
200069,2,0,-1,2,1
200074,4,0,-1,2,1
200080,2,0,-1,2,1
200081,4,2,-1,2,1
200100,1,0,-1,2,1
200106,6,2,-1,2,1
200107,6,2,-1,2,1
200120,2,0,-1,2,1
200122,4,1,-1,2,1
200124,1,0,-1,2,1
200128,6,4,-1,2,1
200129,3,1,-1,2,1
200133,2,0,-1,2,1
200144,2,1,-1,2,1
200154,2,0,-1,2,1
200156,2,0,-1,2,1
200157,4,2,-1,2,1
200162,2,1,-1,2,1
200163,5,0,-1,2,1
200164,4,2,-1,2,1
200165,1,0,-1,2,1
200169,6,2,-1,2,1
200176,6,2,-1,2,1
200182,2,0,-1,2,1
200183,1,0,-1,2,1
200185,2,0,-1,2,1
200186,2,0,-1,2,1
200187,4,2,-1,2,1
200190,3,1,-1,2,1
200197,2,0,-1,2,1
200199,2,0,-1,2,1
200200,4,0,-1,2,1
200201,4,0,-1,2,1
200204,2,0,-1,2,1
200205,2,0,-1,2,1
200206,2,0,-1,2,1
300028,2,1,-1,2,1
300030,4,2,-1,2,1
300036,4,2,-1,2,1
300038,4,2,-1,2,1
300054,5,3,-1,2,1
300055,4,0,-1,2,1
300057,4,0,-1,2,1
300058,4,0,-1,2,1
300059,4,0,-1,2,1
300060,4,0,-1,2,1
300110,4,2,-1,2,1
300114,2,0,-1,2,1
300116,1,0,-1,2,1
300118,2,0,-1,2,1
300119,2,0,-1,2,1
300120,2,0,-1,2,1
300121,2,1,-1,2,1
300122,2,1,-1,2,1
300124,3,1,-1,2,1
300125,1,0,-1,2,1
300126,2,0,-1,2,1
300128,4,2,-1,2,1
300138,2,0,-1,2,1
300146,5,3,-1,2,1
300173,5,3,-1,2,1
300174,2,0,-1,2,1
10045,2,1,-1,2,1
40097,2,0,-1,2,1
40098,2,0,-1,2,1
40099,2,0,-1,2,1
40102,1,0,-1,2,1
50044,2,0,-1,2,1
300029,3,1,-1,2,1
300052,2,0,-1,2,1
300056,1,0,-1,2,1
300162,2,1,-1,2,1
300163,2,1,-1,2,1
10181,2,0,-1,2,1
10241,4,2,-1,2,1
50024,1,0,-1,2,1
60090,2,0,-1,2,1
60103,2,0,-1,2,1
60113,2,0,-1,2,1
200044,2,0,-1,2,1
200131,2,1,-1,2,1
200132,5,1,-1,2,1
300160,4,0,-1,2,1
60147,6,3,-1,2,1
60149,6,3,-1,2,1
200210,2,0,-1,2,1
10122,4,1,-1,2,1
40032,2,0,-1,2,1
60183,3,0,-1,2,1
300167,3,0,-1,2,1
60162,1,0,-1,2,1
10202,2,0,-1,2,1
50070,4,2,-1,2,1
60029,5,3,-1,2,1
60119,2,0,-1,2,1
200041,5,3,-1,2,1
10091,3,1,-1,2,1
10093,2,0,-1,2,1
10094,7,2,-1,2,1
10104,1,0,-1,2,1
10168,1,0,-1,2,1
50148,2,0,-1,2,1
60063,4,2,-1,2,1
200078,1,0,-1,2,1
300068,1,0,-1,2,1
60061,4,2,-1,2,1
60088,1,0,-1,2,1
60191,3,1,-1,2,1
300175,1,0,-1,2,1
300176,2,0,-1,2,1
300177,1,0,-1,2,1
300178,1,0,-1,2,1
300179,1,0,-1,2,1
300180,1,0,-1,2,1
300181,2,0,-1,2,1
300182,3,1,-1,2,1
300183,3,0,-1,2,1
300184,2,0,-1,2,1
300185,1,0,-1,2,1
300186,1,0,-1,2,1
300187,3,0,-1,2,1
300188,1,0,-1,2,1
300189,2,0,-1,2,1
