id,persons,children,femaleAdult,stayType,season
601991,2,0,1,3,1
602031,4,0,1,2,1
602041,5,2,1,6,1
2000111,3,0,1,5,1
2000121,2,0,1,5,1
2000131,2,1,0,2,1
2000141,5,3,1,2,1
2000161,5,1,1,2,1
2000171,4,1,1,2,1
2000181,4,2,1,2,1
2000191,5,2,1,2,1
2000201,5,0,1,2,1
2000211,2,0,0,2,1
2000311,2,0,1,2,1
2000321,3,1,1,5,1
2000341,4,0,1,2,1
2000351,5,3,1,6,1
2000361,3,1,1,2,1
2000371,6,3,1,2,1
2000381,2,0,1,2,1
2000431,2,0,1,5,1
2000461,2,0,1,3,1
2000701,3,1,1,2,1
2000711,1,0,0,2,1
2000731,2,0,1,6,1
2000751,4,1,1,4,1
2000771,2,0,1,3,1
2000791,2,0,1,3,1
2000821,5,3,1,2,1
2000841,2,0,1,3,1
2000861,2,0,1,5,1
2000911,2,0,1,3,1
2000921,1,0,1,3,1
2000951,2,0,1,5,1
2000981,2,0,1,3,1
2001011,1,0,1,3,1
2001131,2,0,1,2,1
2001151,2,0,1,3,1
2001161,4,0,1,3,1
2001191,2,0,1,5,1
2001231,4,2,1,2,1
2001251,3,1,1,5,1
2001261,2,0,1,5,1
2001271,4,2,1,2,1
2001301,4,2,1,5,1
2001341,4,0,1,5,1
2001361,5,2,1,5,1
2001371,4,2,1,2,1
2001381,2,0,1,2,1
2001391,3,2,1,2,1
2001431,4,2,1,5,1
2001451,5,3,1,2,1
2001461,5,2,1,5,1
2001471,4,2,1,3,1
2001491,4,2,1,6,1
2001511,4,2,1,2,1
2001581,2,0,1,2,1
2001661,4,2,1,5,1
2001671,1,0,1,5,1
2001681,4,0,1,5,1
2001721,4,0,1,5,1
2001731,2,0,1,6,1
2001741,2,0,1,6,1
2001751,4,2,1,2,1
2001791,2,0,1,6,1
2001801,6,3,1,6,1
2001811,2,0,1,6,1
2001841,5,3,1,6,1
2001881,4,0,1,5,1
2001891,5,3,1,5,1
2001931,3,1,1,2,1
2001941,2,0,1,5,1
2001951,4,2,1,2,1
2001961,3,1,1,2,1
2001981,5,0,1,2,1
2002021,4,2,1,2,1
2002071,3,1,1,2,1
2002111,3,1,1,6,1
2002121,4,2,1,6,1
2002131,5,3,1,5,1
2002151,3,0,0,3,1
2002161,4,0,1,3,1
2002171,1,0,0,3,1
2002181,2,0,1,2,1
2002191,2,0,1,3,1
2002201,2,0,1,2,1
2002221,4,0,1,5,1
2002231,4,0,1,3,1
2002251,4,0,1,5,1
2002261,2,0,1,3,1
2002271,2,0,1,5,1
3000111,4,0,1,5,1
3000121,6,2,1,6,1
3000131,5,3,1,5,1
3000141,4,2,1,5,1
3000181,1,0,0,6,1
3000201,4,2,1,2,1
3000211,2,0,1,2,1
3000221,4,2,1,2,1
3000231,6,2,1,2,1
3000261,5,3,1,5,1
3000271,5,3,1,5,1
3000321,2,0,1,5,1
3000331,2,0,1,5,1
3000341,3,2,1,5,1
3000351,7,3,1,2,1
3000391,2,0,1,2,1
3000411,4,2,1,5,1
3000431,5,1,1,6,1
3000511,3,0,1,5,1
3000531,2,0,1,5,1
3000631,2,0,1,5,1
3000651,1,0,0,5,1
3000671,2,0,1,5,1
3000691,5,3,1,6,1
3000761,4,2,1,2,1
3000771,6,2,1,2,1
3000791,1,0,1,3,1
3000801,3,0,1,3,1
3000811,2,0,1,3,1
3000821,4,0,1,3,1
3000841,2,0,1,3,1
3000861,3,1,1,3,1
3000871,2,0,1,3,1
3000901,5,0,1,5,1
3000931,5,2,1,3,1
3000951,4,3,0,5,1
3000971,3,1,1,2,1
3000981,5,3,1,5,1
3000991,2,0,1,5,1
3001011,2,0,1,5,1
3001021,4,2,1,2,1
3001051,5,0,1,5,1
