taz,hotelmotel,resort,casino,campground,house,seasonal
375,0,0,0,0,0.39,0.39
376,0,0,0,0,0.39,0.39
377,0,0,0,0,0.39,0.39
378,0,0,0,0,0.39,0.39
379,0,0,0,0,0.39,0.39
380,0,0,0,0,0.39,0.39
381,0,0,0,0,0.39,0.39
382,0,0,0,0,0.39,0.39
383,0,0,0,0,0.39,0.39
384,0,0,0,0,0,0
385,0,0,0,0,0,0
386,0,0,0,0,0.39,0.39
387,0,0,0,0,0.39,0.39
388,0,0,0,0,0.39,0.39
389,0,0,0,0,0.39,0.39
390,0,0,0,0,0.39,0.39
391,0,0,0,0,0.39,0.39
392,0,0,0,0,0.39,0.39
393,0,0,0,0,0.39,0.39
394,0,0,0,0,0.39,0.39
395,0,0,0.75,0,0.32,0.32
396,0.75,0,0,0,0.39,0.39
397,0,0,0,0,0.39,0.39
