taz,census_tract,block_group,puma,county,county_code,state,state_code,full_census_code,area_in_sq_miles
204,400,2,400,Douglas,5,NV,32,3.20E+11,0.06
205,400,3,400,Douglas,5,NV,32,3.20E+11,0.05
206,302,2,400,Douglas,5,NV,32,3.20E+11,0.09
207,400,1,400,Douglas,5,NV,32,3.20E+11,0.4
208,400,1,400,Douglas,5,NV,32,3.20E+11,2.99
209,400,1,400,Douglas,5,NV,32,3.20E+11,0.18
210,400,1,400,Douglas,5,NV,32,3.20E+11,0
211,400,1,400,Douglas,5,NV,32,3.20E+11,0.6
212,400,2,400,Douglas,5,NV,32,3.20E+11,0.25
213,400,3,400,Douglas,5,NV,32,3.20E+11,0.51
214,400,2,400,Douglas,5,NV,32,3.20E+11,0.45
215,400,1,400,Douglas,5,NV,32,3.20E+11,0.94
216,400,1,400,Douglas,5,NV,32,3.20E+11,1.09
217,302,1,400,Douglas,5,NV,32,3.20E+11,0.43
218,302,1,400,Douglas,5,NV,32,3.20E+11,0.08
219,302,1,400,Douglas,5,NV,32,3.20E+11,0.3
220,301,3,400,Douglas,5,NV,32,3.20E+11,0.1
221,302,1,400,Douglas,5,NV,32,3.20E+11,0.21
222,302,1,400,Douglas,5,NV,32,3.20E+11,0.06
223,302,1,400,Douglas,5,NV,32,3.20E+11,2.26
224,301,3,400,Douglas,5,NV,32,3.20E+11,0.15
225,301,3,400,Douglas,5,NV,32,3.20E+11,3.54
226,301,3,400,Douglas,5,NV,32,3.20E+11,0.37
227,301,2,400,Douglas,5,NV,32,3.20E+11,1.39
228,301,2,400,Douglas,5,NV,32,3.20E+11,2.74
229,301,2,400,Douglas,5,NV,32,3.20E+11,0.41
230,301,2,400,Douglas,5,NV,32,3.20E+11,0.46
231,301,1,400,Douglas,5,NV,32,3.20E+11,2.74
232,301,1,400,Douglas,5,NV,32,3.20E+11,0.07
233,301,1,400,Douglas,5,NV,32,3.20E+11,0.11
234,301,1,400,Douglas,5,NV,32,3.20E+11,0.74
235,301,1,400,Douglas,5,NV,32,3.20E+11,2.58
236,301,1,400,Douglas,5,NV,32,3.20E+11,1.6
237,301,1,400,Douglas,5,NV,32,3.20E+11,0.2
238,301,1,400,Douglas,5,NV,32,3.20E+11,2.98
239,200,1,400,Douglas,5,NV,32,3.20E+11,0.36
240,301,1,400,Douglas,5,NV,32,3.20E+11,0.58
241,301,1,400,Douglas,5,NV,32,3.20E+11,1.07
242,301,1,400,Douglas,5,NV,32,3.20E+11,0.42
243,301,1,400,Douglas,5,NV,32,3.20E+11,1.57
244,301,1,400,Douglas,5,NV,32,3.20E+11,0.85
245,300,2,400,Carson City,510,NV,32,3.25E+11,2.16
246,300,2,400,Carson City,510,NV,32,3.25E+11,1.46
247,300,2,400,Carson City,510,NV,32,3.25E+11,3.72
248,300,2,400,Carson City,510,NV,32,3.25E+11,0.37
249,300,2,400,Carson City,510,NV,32,3.25E+11,0.31
250,300,2,400,Carson City,510,NV,32,3.25E+11,0.31
251,300,2,400,Carson City,510,NV,32,3.25E+11,1.46
252,3302,3,100,Washoe,31,NV,32,3.20E+11,0.12
253,3304,6,100,Washoe,31,NV,32,3.20E+11,3.56
254,3302,3,100,Washoe,31,NV,32,3.20E+11,0.2
255,3302,3,100,Washoe,31,NV,32,3.20E+11,0.11
256,3304,6,100,Washoe,31,NV,32,3.20E+11,1.79
257,3304,6,100,Washoe,31,NV,32,3.20E+11,0.88
258,3302,3,100,Washoe,31,NV,32,3.20E+11,0.03
259,3304,6,100,Washoe,31,NV,32,3.20E+11,1.64
260,3302,4,100,Washoe,31,NV,32,3.20E+11,0.12
261,3302,4,100,Washoe,31,NV,32,3.20E+11,0.29
262,3302,4,100,Washoe,31,NV,32,3.20E+11,0.18
263,3302,4,100,Washoe,31,NV,32,3.20E+11,0.03
264,3302,3,100,Washoe,31,NV,32,3.20E+11,0.14
265,3302,2,100,Washoe,31,NV,32,3.20E+11,0.06
266,3304,6,100,Washoe,31,NV,32,3.20E+11,1.59
267,3304,6,100,Washoe,31,NV,32,3.20E+11,0.26
268,3304,5,100,Washoe,31,NV,32,3.20E+11,2.17
269,3304,5,100,Washoe,31,NV,32,3.20E+11,3.4
270,3304,5,100,Washoe,31,NV,32,3.20E+11,0.61
271,3304,4,100,Washoe,31,NV,32,3.20E+11,0.1
272,3304,4,100,Washoe,31,NV,32,3.20E+11,0.09
273,3304,4,100,Washoe,31,NV,32,3.20E+11,0.21
274,3304,3,100,Washoe,31,NV,32,3.20E+11,0.45
275,3302,3,100,Washoe,31,NV,32,3.20E+11,0.07
276,3302,3,100,Washoe,31,NV,32,3.20E+11,0.19
277,3302,3,100,Washoe,31,NV,32,3.20E+11,0.12
278,3302,2,100,Washoe,31,NV,32,3.20E+11,0.06
279,3302,2,100,Washoe,31,NV,32,3.20E+11,0.05
280,3302,1,100,Washoe,31,NV,32,3.20E+11,0.05
281,3302,1,100,Washoe,31,NV,32,3.20E+11,0.04
282,3302,1,100,Washoe,31,NV,32,3.20E+11,0.15
283,3302,1,100,Washoe,31,NV,32,3.20E+11,0.22
284,3302,1,100,Washoe,31,NV,32,3.20E+11,0.05
285,3304,2,100,Washoe,31,NV,32,3.20E+11,0.79
286,3304,2,100,Washoe,31,NV,32,3.20E+11,4.05
287,3304,2,100,Washoe,31,NV,32,3.20E+11,2.33
288,3304,1,100,Washoe,31,NV,32,3.20E+11,0.05
289,3304,1,100,Washoe,31,NV,32,3.20E+11,0.13
290,3302,1,100,Washoe,31,NV,32,3.20E+11,0.07
291,3304,1,100,Washoe,31,NV,32,3.20E+11,1.92
292,3304,1,100,Washoe,31,NV,32,3.20E+11,1.95
293,3304,1,100,Washoe,31,NV,32,3.20E+11,0.75
294,3304,1,100,Washoe,31,NV,32,3.20E+11,0.11
295,3304,1,100,Washoe,31,NV,32,3.20E+11,0.06
296,3304,1,100,Washoe,31,NV,32,3.20E+11,0.09
297,3304,1,100,Washoe,31,NV,32,3.20E+11,0.04
