AGE,ENROLL,ESR,HOURS,HHID
10,2,0,0,201
4,2,0,0,201
48,1,6,0,202
7,2,0,0,202
59,1,1,50,203
58,1,1,45,203
32,1,6,12,203
30,1,6,40,203
66,1,1,10,204
50,1,1,45,204
75,1,6,0,205
73,1,6,0,205
75,1,6,3,206
71,1,1,50,206
57,1,1,40,207
46,1,1,55,208
43,1,1,55,208
35,1,1,40,209
34,1,1,40,209
11,2,0,0,209
5,2,0,0,209
0,0,0,0,209
68,1,6,0,210
63,1,6,0,210
66,1,1,35,211
66,1,6,0,211
30,1,6,0,211
74,1,6,0,212
73,1,6,0,212
44,1,1,40,213
59,1,1,50,214
58,1,1,40,214
18,2,1,20,214
58,1,1,60,215
56,1,1,46,216
49,1,6,0,216
10,2,0,0,216
57,3,3,0,217
49,1,1,40,217
22,3,6,0,217
60,1,1,40,218
51,1,1,40,218
78,1,6,0,219
80,1,6,0,220
77,1,6,0,220
36,1,1,50,221
35,1,3,32,221
13,3,0,0,221
9,3,0,0,221
7,3,0,0,221
69,1,6,0,222
68,1,6,0,222
51,1,1,40,223
34,1,6,36,223
15,2,0,0,223
10,2,0,0,223
7,2,0,0,223
5,2,0,0,223
43,1,1,50,224
40,1,6,0,224
13,2,0,0,224
3,1,0,0,224
44,1,3,6,225
24,1,1,40,225
14,2,0,0,225
40,1,1,47,226
8,2,0,0,226
6,2,0,0,226
69,1,6,0,227
52,1,1,55,228
50,1,1,40,228
15,2,0,0,228
67,1,6,0,229
48,1,3,15,230
18,2,3,0,230
86,1,6,0,231
54,1,6,0,232
66,1,6,0,233
65,1,6,0,233
35,1,1,40,234
55,1,6,0,235
68,1,6,0,236
51,1,3,35,237
58,1,1,40,238
54,1,1,15,238
17,2,3,0,238
16,2,6,0,238
37,1,4,60,239
33,1,3,0,239
55,1,1,45,240
54,1,1,15,240
21,1,1,40,240
48,1,1,10,241
47,1,1,40,241
11,2,0,0,241
7,2,0,0,241
91,1,6,0,242
68,1,6,50,242
49,1,6,0,243
