SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
4001020697,102,32,2,4964676.25,2026,4680
4001020739,200,32,2,1877170.22,2027,4682
4001021707,102,32,1,36581.825,2028,4684
4001022671,200,32,1,470337.75,2029,4685
4001024808,200,32,7,1329488.04,2030,4686
4001032862,102,32,1,50169.36,2031,4693
4001032993,102,32,2,1563622.17195,2032,4694
4001033634,102,32,2,1337849.6,2033,4696
4001034038,102,32,1,196496.66,2034,4698
4001034190,200,32,2,195451.465,2035,4699
4001035789,200,32,2,155734.055,2036,4701
4001036839,102,32,4,1463273,2037,4703
4001038200,102,32,2,3041517.45,2038,4707
4001041392,200,32,2,877963.8,2039,4709
4001041755,200,32,3,285338.235,2040,4711
4001042189,102,32,2,2226265.35,2041,4714
4001042197,200,32,2,360592.275,2042,4716
4001042358,102,32,2,2067395.71,2043,4718
4001043109,200,32,2,188135.1,2044,4720
4001043404,102,32,2,2395377.901,2045,4722
4001044060,102,32,2,815252.1,2046,4724
4001044570,200,32,1,412852.025,2047,4726
4001045854,102,32,1,595761.15,2048,4727
4001046578,102,32,5,571199.0675,2049,4728
4001047533,102,32,3,198587.05,2050,4733
4001047551,200,32,1,535139.84,2051,4736
4001048251,200,32,2,946946.67,2052,4737
4001049467,200,32,6,1280363.875,2053,4739
4001053851,200,32,1,50169.36,2054,4745
4001053935,200,32,2,773444.3,2055,4746
4001054710,102,32,1,739998.06,2056,4748
4001054997,200,32,2,553953.35,2057,4749
4001057123,200,32,2,313558.5,2058,4751
4001058366,200,32,5,259208.36000000002,2059,4753
4001059123,200,32,2,261298.75,2060,4758
4001059192,102,32,3,457795.41,2061,4760
4001059548,102,32,2,287428.625,2062,4763
4001059859,102,32,3,1630504.2,2063,4765
4001060150,200,32,1,205903.415,2064,4768
4001061876,102,32,5,1372341.035,2065,4769
4001062309,102,32,4,1259459.975,2066,4774
4001065568,102,32,2,125423.4,2067,4778
4001065870,200,32,1,1254234,2068,4780
4001067477,200,32,1,227852.51,2069,4781
4001068236,200,32,2,520507.11,2070,4782
4001068707,102,32,4,961579.4,2071,4784
4001069359,200,32,2,951127.45,2072,4788
4001069474,200,32,2,694009.48,2073,4790
4001071579,102,32,1,157824.445,2074,4792
4001072902,102,32,3,2100841.95,2075,4793
4001077602,200,32,1,1277228.29,2076,4796
4001077838,200,32,1,250846.8,2077,4797
4001077922,102,32,1,627117,2078,4798
4001077945,102,32,3,1687989.925,2079,4799
4001080570,102,32,2,660563.24,2080,4802
4001080586,102,32,3,127513.79000000001,2081,4804
4001080621,200,32,3,1095364.36,2082,4807
4001080655,102,32,3,1716210.19,2083,4810
4001081944,200,32,5,1852085.54,2084,4813
4001082036,200,32,4,951127.45,2085,4818
4001082927,200,32,3,501693.6,2086,4822
4001083666,200,32,2,4121203.8850000002,2087,4825
4001084670,200,32,2,561269.715,2088,4827
4001084722,102,32,2,365818.25,2089,4829
4001085808,200,32,2,1109997.09,2090,4831
4001086898,200,32,2,1257683.1435,2091,4833
4001088167,102,32,2,1395335.325,2092,4835
4001088360,102,32,4,783896.25,2093,4837
4001088970,102,32,5,773444.3,2094,4841
4001092941,200,32,4,522597.5,2095,4846
4001093047,102,32,3,956353.425,2096,4850
4001095182,200,32,2,747314.425,2097,4853
4001096552,200,32,2,1068189.29,2098,4855
4001098250,102,32,4,151971.353,2099,4857
4001099073,200,32,2,500648.405,2100,4861
4001099974,200,32,1,448388.655,2101,4863
4001100021,102,32,3,1306493.75,2102,4864
4001102440,200,32,1,292654.6,2103,4867
4001102530,200,32,4,782851.055,2104,4868
4001104682,102,32,4,205903.415,2105,4872
4001104711,200,32,2,1195703.08,2106,4876
4001106834,102,32,2,425080.8065,2107,4878
4001108986,102,32,5,527823.475,2108,4880
4001109277,200,32,1,224716.925,2109,4885
4001110109,102,32,4,2264937.565,2110,4886
4001112744,200,32,2,457795.41,2111,4890
4001112829,200,32,2,911410.04,2112,4892
4001113871,102,32,2,1644091.735,2113,4894
4001115662,200,32,2,658472.85,2114,4896
4001116216,200,32,3,808980.93,2115,4898
4001117282,200,32,2,380450.98,2116,4901
4001121016,200,32,3,388812.54,2117,4903
4001123160,102,32,2,2930726.78,2118,4906
4001123163,102,32,2,841381.975,2119,4908
4001124861,200,32,2,336552.79,2120,4910
4001125247,200,32,1,423303.975,2121,4912
4001127286,200,32,2,714913.38,2122,4913
4001127820,102,32,2,501693.6,2123,4915
4001128454,200,32,1,452569.435,2124,4917
4001128725,200,32,3,303106.55,2125,4918
4001129010,200,32,6,627117,2126,4921
4001129907,102,32,5,731636.5,2127,4927
4001130523,200,32,6,1338894.795,2128,4932
4001135399,102,32,1,731636.5,2129,4938
4001137233,200,32,2,719094.16,2130,4939
4001137397,102,32,2,1376521.815,2131,4941
4001137833,102,32,2,261298.75,2132,4943
4001138113,200,32,5,813161.71,2133,4945
4001139534,200,32,2,395397.2685,2134,4950
4001144177,102,32,2,3031065.5,2135,4952
4001145609,102,32,4,738952.865,2136,4954
4001146344,102,32,2,4721145.815,2137,4958
4001150929,102,32,1,2309880.95,2138,4960
4001151118,200,32,1,470337.75,2139,4961
4001153311,102,32,1,329236.425,2140,4962
4001154469,102,32,2,890506.14,2141,4963
4001156206,102,32,4,972031.35,2142,4965
4001156229,102,32,2,691919.09,2143,4969
4001156933,102,32,2,1187341.52,2144,4971
4001157110,200,32,2,3003890.43,2145,4973
4001157215,200,32,2,825704.05,2146,4975
4001160816,200,32,2,1829091.25,2147,4977
4001162911,200,32,1,301016.16,2148,4979
4001163784,200,32,3,890506.14,2149,4980
4001164649,200,32,3,377315.395,2150,4983
4001165009,200,32,1,373134.615,2151,4986
4001165226,200,32,2,1045195,2152,4987
4001165662,102,32,2,676241.165,2153,4989
4001168482,200,32,3,446298.265,2154,4991
4001169735,102,32,2,1987960.8900000001,2155,4994
4001173454,200,32,3,20903.9,2156,4996
4001174326,200,32,2,637568.95,2157,4999
4001175881,102,32,1,261298.75,2158,5001
4001177475,200,32,2,661608.435,2159,5002
4001178056,200,32,3,783896.25,2160,5004
4001178823,102,32,3,104519.5,2161,5007
4001179276,200,32,1,470337.75,2162,5010
4001179648,200,32,3,480789.7,2163,5011
4001180635,200,32,2,509009.965,2164,5014
4001185573,200,32,3,825704.05,2165,5016
4001187050,200,32,1,691919.09,2166,5019
4001187991,200,32,1,304151.745,2167,5020
4001188845,200,32,2,904093.675,2168,5021
4001191786,102,32,2,1087002.8,2169,5023
4001192241,200,32,2,31355.85,2170,5025
4001194541,200,32,1,29369.9795,2171,5027
4001195534,102,32,5,1097454.75,2172,5028
4001196261,102,32,6,367908.64,2173,5033
4001196769,102,32,4,760901.96,2174,5039
4001196890,200,32,1,0,2175,5043
4001196948,102,32,2,3814961.75,2176,5044
4001198004,200,32,3,543501.4,2177,5046
4001198117,102,32,2,118107.035,2178,5049
4001198154,200,32,2,546636.985,2179,5051
4001198846,200,32,4,76299.235,2180,5053
4001200231,200,32,1,292654.6,2181,5057
4001201565,200,32,2,939839.344,2182,5058
4001202518,102,32,1,779715.47,2183,5060
4001203821,200,32,3,553953.35,2184,5061
4001204748,200,32,1,100338.72,2185,5064
4001205630,102,32,2,146327.3,2186,5065
4001207292,200,32,1,477654.115,2187,5067
4001208701,200,32,1,0,2188,5068
4001208985,200,32,1,501693.6,2189,5069
4001209133,200,32,1,109745.475,2190,5070
4001209263,102,32,2,1620052.25,2191,5071
4001212163,200,32,2,299970.965,2192,5073
4001212721,200,32,2,380450.98,2193,5075
4001214484,102,32,1,163050.42,2194,5077
4001217159,200,32,2,402400.075,2195,5078
4001218180,200,32,2,457795.41,2196,5080
4001220000,200,32,3,209039,2197,5082
4001220996,102,32,2,422363.2995,2198,5085
4001222719,200,32,3,499603.21,2199,5087
4001223891,200,32,2,306242.135,2200,5090
4001223959,200,32,3,343346.5575,2201,5092
4001226387,200,32,3,1808187.35,2202,5095
4001226591,200,32,1,1284544.655,2203,5098
4001227403,200,32,2,648020.9,2204,5099
4001228742,102,32,4,1251098.415,2205,5101
4001229252,200,32,1,658472.85,2206,5105
4001230130,200,32,2,957398.62,2207,5106
4001232411,102,32,1,135875.35,2208,5108
4001233819,200,32,2,398219.295,2209,5109
4001234748,200,32,2,474518.53,2210,5111
4001236151,200,32,4,310422.915,2211,5113
4001238146,200,32,2,1009658.37,2212,5117
4001238327,200,32,2,152598.47,2213,5119
4001243178,200,32,2,538275.425,2214,5121
4001243745,200,32,4,909319.65,2215,5123
4001244414,200,32,1,884234.97,2216,5127
4001246272,102,32,4,286383.43,2217,5128
4001246902,102,32,5,2090390,2218,5132
4001247741,102,32,2,655337.265,2219,5137
4001249955,200,32,1,616665.05,2220,5139
4001251699,200,32,1,841381.975,2221,5140
4001251709,200,32,2,961579.4,2222,5141
4001252774,102,32,2,1607509.91,2223,5143
4001252927,200,32,4,545591.79,2224,5145
4001253477,102,32,2,2023497.52,2225,5149
4001253957,200,32,5,883189.775,2226,5151
4001254866,200,32,2,1672312,2227,5156
4001257930,200,32,6,1708893.825,2228,5158
4001258091,200,32,2,588444.785,2229,5164
4001258491,102,32,5,1090347.424,2230,5166
4001258858,102,32,3,712822.99,2231,5171
4001263196,200,32,4,644885.3150000001,2232,5174
4001263503,200,32,2,836156,2233,5178
4001267409,200,32,3,1567792.5,2234,5180
4001267799,102,32,1,150508.08,2235,5183
4001268335,200,32,1,522702.0195,2236,5184
4001269712,200,32,1,292654.6,2237,5185
4001269875,200,32,1,193361.075,2238,5186
4001271567,102,32,1,501693.6,2239,5187
4001273847,200,32,2,213219.78,2240,5188
4001275430,200,32,3,378360.59,2241,5190
4001278190,102,32,1,444207.875,2242,5193
4001278463,200,32,3,943811.085,2243,5194
4001279277,200,32,2,888415.75,2244,5197
4001280552,102,32,1,2090.39,2245,5199
4001285597,200,32,2,836156,2246,5200
4001285897,200,32,3,755362.4265000001,2247,5202
4001287900,102,32,2,1092228.775,2248,5205
4001291171,200,32,2,417032.805,2249,5207
4001293314,200,32,1,289519.015,2250,5209
4001293966,102,32,1,0,2251,5210
4001294654,200,32,4,1787283.45,2252,5211
4001295524,200,32,3,1024291.1,2253,5215
4001296228,200,32,2,379405.785,2254,5218
4001297337,102,32,2,1672312,2255,5220
4001298927,102,32,4,6859614.785,2256,5222
4001298968,102,32,2,171411.98,2257,5226
4001299891,200,32,1,588444.785,2258,5228
4001303206,200,32,3,972031.35,2259,5229
4001303662,200,32,7,144550.4685,2260,5232
4001304511,102,32,1,553953.35,2261,5239
4001305061,102,32,3,471382.945,2262,5240
4001305309,200,32,2,1776831.5,2263,5243
4001305836,102,32,5,1682763.95,2264,5245
4001307419,102,32,1,522597.5,2265,5250
