AGE,ENROLL,ESR,HOURS,HHID
11,2,0,0,125
54,1,1,40,126
67,1,6,0,127
54,1,1,48,128
52,1,1,40,128
28,1,1,40,129
21,1,1,20,129
55,1,1,60,130
52,1,1,40,130
59,1,1,40,131
58,1,1,40,131
23,1,3,0,131
27,1,1,50,132
4,1,0,0,132
68,1,1,40,133
61,1,6,24,133
86,1,6,0,134
63,1,2,70,135
60,1,2,40,135
44,1,1,50,136
22,1,1,20,136
15,2,0,0,136
64,1,1,30,137
57,1,1,40,137
57,1,1,40,138
55,1,1,40,138
57,1,1,62,139
55,1,6,0,139
61,1,1,35,140
59,1,6,0,140
50,1,1,48,141
70,1,6,0,142
28,1,1,40,142
21,1,1,40,142
57,1,1,30,143
23,2,3,75,143
23,1,1,23,143
69,1,6,0,144
55,1,1,40,145
33,1,1,35,145
30,1,1,69,145
28,1,1,26,145
6,2,0,0,145
3,1,0,0,145
61,1,6,0,146
27,1,1,40,146
56,1,1,35,147
79,1,6,0,148
62,1,6,0,149
61,1,6,0,149
36,1,1,50,150
34,2,1,16,150
6,2,0,0,150
4,2,0,0,150
75,1,6,0,151
62,1,6,0,151
62,1,3,0,152
58,1,6,0,152
35,1,6,0,153
34,1,1,40,153
8,2,0,0,153
6,2,0,0,153
1,0,0,0,153
42,1,6,0,154
41,1,1,40,154
44,1,1,40,155
36,3,3,0,155
80,1,6,0,156
78,1,6,0,156
40,1,1,60,157
40,1,1,40,157
33,1,1,10,158
13,2,0,0,158
5,2,0,0,158
60,1,1,30,159
51,1,1,40,160
51,1,6,24,160
89,1,6,0,161
58,1,6,0,162
38,1,6,0,162
40,1,1,40,163
40,1,1,40,163
15,2,0,0,163
14,3,0,0,163
12,3,0,0,163
77,1,6,0,164
49,1,6,0,164
64,1,6,8,165
62,1,6,0,165
52,1,1,36,166
45,1,1,40,166
60,1,1,35,167
70,1,1,65,168
59,1,6,0,168
64,1,6,0,169
63,1,6,5,169
17,2,6,0,169
14,2,0,0,169
46,1,1,40,170
43,1,1,40,170
10,2,0,0,170
61,1,1,40,171
56,1,1,32,171
5,2,0,0,171
85,1,6,0,172
55,1,6,0,173
52,1,1,30,173
60,1,6,0,174
81,1,6,0,175
79,1,1,3,175
75,1,6,0,176
74,1,6,0,176
73,1,6,0,177
63,1,3,0,178
50,1,1,40,179
68,1,1,35,180
67,1,6,0,180
52,1,1,50,181
10,3,0,0,181
40,1,1,38,182
37,1,1,40,182
16,2,6,0,182
73,1,6,0,183
67,1,6,0,183
23,1,3,0,183
5,2,0,0,183
33,1,1,38,184
64,1,1,40,185
54,1,1,40,186
47,1,1,40,186
27,1,6,40,186
26,1,6,0,186
49,1,3,0,187
16,2,6,0,187
68,1,6,0,188
30,1,6,0,188
86,1,6,0,189
85,1,6,0,189
63,1,1,40,190
57,1,1,40,190
59,1,6,0,191
48,1,6,40,191
40,1,1,32,192
36,1,1,40,192
12,2,0,0,192
10,2,0,0,192
6,2,0,0,192
65,1,6,0,193
45,1,1,45,194
43,1,1,40,194
16,2,6,0,194
61,1,1,60,195
61,1,6,0,195
58,1,1,30,196
58,1,1,40,196
50,3,1,50,196
18,2,1,20,196
61,1,6,0,197
58,1,1,45,197
53,1,6,0,198
25,1,6,0,198
72,1,6,0,199
69,1,6,0,199
57,1,1,50,200
55,1,1,25,200
27,1,3,50,200
68,1,6,0,201
83,1,6,0,202
83,1,3,60,202
58,1,1,40,203
56,1,1,45,203
45,1,1,40,204
50,1,6,0,205
64,1,6,0,206
34,1,1,40,206
63,1,3,0,207
59,1,6,0,207
37,1,3,0,207
68,1,6,0,208
66,1,6,0,208
64,1,6,0,209
61,1,1,25,209
55,1,1,40,210
29,2,1,25,210
29,1,1,24,210
26,1,1,40,211
61,1,1,16,212
58,1,1,40,212
73,1,6,0,213
49,1,6,0,214
47,1,1,50,214
16,2,1,8,214
11,2,0,0,214
52,1,1,40,215
50,1,3,8,215
65,1,6,40,216
62,1,6,40,216
63,1,6,0,217
58,1,3,35,217
27,1,1,30,217
19,2,1,25,217
63,1,1,45,218
63,1,6,0,218
75,1,6,0,219
58,1,1,60,219
45,1,1,60,220
42,1,1,20,220
15,2,0,0,220
13,2,0,0,220
10,2,0,0,220
65,1,1,40,221
60,1,1,30,221
86,1,6,0,222
83,1,6,0,222
30,1,1,40,223
28,1,1,50,223
44,1,1,50,224
17,2,3,0,224
52,1,6,0,225
58,1,1,40,226
58,1,6,0,226
70,1,6,0,227
59,1,1,40,228
53,1,1,20,228
42,1,6,0,229
15,2,0,0,229
13,2,0,0,229
12,2,0,0,229
89,1,6,0,230
19,2,1,25,231
19,2,3,0,231
18,2,3,0,231
18,2,6,0,231
54,1,1,50,232
53,1,1,30,232
90,1,6,0,233
61,1,1,22,233
60,1,1,25,233
66,1,6,0,234
36,1,1,40,235
26,1,1,40,235
31,1,1,28,236
28,1,1,40,236
58,1,6,0,237
30,1,6,0,237
75,1,6,0,238
75,1,6,0,238
55,1,1,44,239
44,1,6,0,239
7,2,0,0,239
5,2,0,0,239
46,1,6,0,240
15,2,0,0,240
67,1,1,48,241
69,1,6,0,242
66,1,6,0,242
72,1,1,60,243
71,1,6,0,243
38,1,1,45,244
33,1,1,20,244
7,2,0,0,244
6,2,0,0,244
57,1,1,50,245
71,1,6,0,246
72,1,6,0,247
66,1,6,0,247
50,1,6,0,248
50,1,1,50,248
23,1,1,40,248
16,2,6,0,248
65,1,6,0,249
65,1,6,0,249
28,1,1,15,250
27,1,1,42,250
26,1,1,20,250
1,0,0,0,250
44,1,1,40,251
41,1,6,35,251
9,2,0,0,251
6,2,0,0,251
3,1,0,0,251
0,0,0,0,251
87,1,6,0,252
73,1,6,0,252
66,1,6,0,253
66,1,6,0,253
52,1,1,60,254
51,1,1,25,254
16,2,3,0,254
14,2,0,0,254
65,1,1,50,255
65,1,1,4,255
59,1,1,32,256
49,1,6,0,256
81,1,6,0,257
80,1,6,0,257
68,1,6,0,258
61,1,6,0,258
70,1,1,40,259
69,1,6,0,259
66,1,6,0,260
62,1,1,37,260
72,1,6,0,261
65,1,1,40,261
47,1,1,35,262
45,1,1,40,262
15,2,0,0,262
8,2,0,0,262
65,1,6,40,263
64,1,1,40,263
64,1,6,0,264
64,1,6,0,264
72,1,6,0,265
69,1,6,0,265
75,1,1,20,266
66,1,6,0,266
29,1,6,20,267
75,1,6,0,268
28,1,1,65,269
26,1,1,25,269
3,2,0,0,269
1,0,0,0,269
27,1,1,42,270
26,1,1,45,270
77,1,6,0,271
70,1,6,0,271
52,1,1,48,272
47,1,1,48,272
15,2,0,0,272
15,3,0,0,272
30,1,1,40,273
7,2,0,0,273
61,1,6,40,274
59,1,1,20,274
56,1,6,0,275
47,1,1,45,275
29,1,3,0,275
23,2,6,0,275
58,1,1,50,276
55,1,6,0,276
61,1,1,50,277
60,1,3,24,277
58,1,1,40,277
30,1,1,10,277
23,1,3,40,277
63,1,1,50,278
60,1,1,50,278
40,1,1,30,279
31,1,1,35,279
16,2,6,0,279
3,2,0,0,279
58,1,1,15,280
51,1,2,7,280
65,1,6,0,281
44,1,1,40,281
44,1,6,0,281
10,2,0,0,281
10,2,0,0,281
7,2,0,0,281
81,1,6,0,282
47,1,1,50,283
45,1,6,0,283
15,2,0,0,283
12,2,0,0,283
76,1,6,0,284
71,1,6,0,284
32,1,1,38,285
28,1,1,40,285
7,2,0,0,285
5,3,0,0,285
66,1,6,0,286
64,1,6,0,286
23,1,1,45,287
60,1,2,40,288
60,1,6,0,288
32,1,6,10,288
24,2,2,16,288
42,1,1,40,289
27,1,1,40,289
10,2,0,0,289
42,1,1,45,290
41,1,1,20,290
8,1,0,0,290
6,1,0,0,290
80,1,6,0,291
84,1,6,0,292
55,1,1,40,293
54,1,1,50,293
30,1,1,1,293
37,1,1,35,294
33,1,1,25,294
