State,County,Tract,HHSize,HHWorkers,HHIncome,nHHs
6,61,20105,2,0,low,4
6,61,20105,2,0,med,25
6,61,20105,2,0,high,10
6,61,20105,2,1,low,20
6,61,20105,2,1,med,38
6,61,20105,2,1,high,35
6,61,20105,2,2,low,35
6,61,20105,2,2,med,49
6,61,20105,2,2,high,75
6,61,20105,3,0,low,0
6,61,20105,3,0,med,0
6,61,20105,3,0,high,0
6,61,20105,3,1,low,10
6,61,20105,3,1,med,9
6,61,20105,3,1,high,4
6,61,20105,3,2,low,6
6,61,20105,3,2,med,33
6,61,20105,3,2,high,4
6,61,20105,3,3+,low,0
6,61,20105,3,3+,med,15
6,61,20105,3,3+,high,18
6,61,20105,4+,0,low,0
6,61,20105,4+,0,med,10
6,61,20105,4+,0,high,14
6,61,20105,4+,1,low,0
6,61,20105,4+,1,med,30
6,61,20105,4+,1,high,0
6,61,20105,4+,2,low,0
6,61,20105,4+,2,med,30
6,61,20105,4+,2,high,35
6,61,20105,4+,3+,low,1
6,61,20105,4+,3+,med,17
6,61,20105,4+,3+,high,18
6,61,20106,1,0,low,20
6,61,20106,1,0,med,20
6,61,20106,1,0,high,0
6,61,20106,1,1,low,66
6,61,20106,1,1,med,64
6,61,20106,1,1,high,14
6,61,20106,2,0,low,13
6,61,20106,2,0,med,10
6,61,20106,2,0,high,14
6,61,20106,2,1,low,17
6,61,20106,2,1,med,42
6,61,20106,2,1,high,40
6,61,20106,2,2,low,13
6,61,20106,2,2,med,75
6,61,20106,2,2,high,60
6,61,20106,3,0,low,12
6,61,20106,3,0,med,2
6,61,20106,3,0,high,0
6,61,20106,3,1,low,14
6,61,20106,3,1,med,18
6,61,20106,3,1,high,4
6,61,20106,3,2,low,2
6,61,20106,3,2,med,26
6,61,20106,3,2,high,33
6,61,20106,3,3+,low,4
6,61,20106,3,3+,med,0
6,61,20106,3,3+,high,24
6,61,20106,4+,0,low,10
6,61,20106,4+,0,med,14
6,61,20106,4+,0,high,0
6,61,20106,4+,1,low,8
6,61,20106,4+,1,med,4
6,61,20106,4+,1,high,4
6,61,20106,4+,2,low,17
6,61,20106,4+,2,med,31
6,61,20106,4+,2,high,35
6,61,20106,4+,3+,low,0
6,61,20106,4+,3+,med,25
6,61,20106,4+,3+,high,33
6,61,20107,1,0,low,31
6,61,20107,1,0,med,16
6,61,20107,1,0,high,0
6,61,20107,1,1,low,252
6,61,20107,1,1,med,73
6,61,20107,1,1,high,15
6,61,20107,2,0,low,16
6,61,20107,2,0,med,25
6,61,20107,2,0,high,8
6,61,20107,2,1,low,65
6,61,20107,2,1,med,28
6,61,20107,2,1,high,4
6,61,20107,2,2,low,65
6,61,20107,2,2,med,104
6,61,20107,2,2,high,14
6,61,20107,3,0,low,10
6,61,20107,3,0,med,17
6,61,20107,3,0,high,4
6,61,20107,3,1,low,45
6,61,20107,3,1,med,6
6,61,20107,3,1,high,15
6,61,20107,3,2,low,4
6,61,20107,3,2,med,16
6,61,20107,3,2,high,14
6,61,20107,3,3+,low,0
6,61,20107,3,3+,med,15
6,61,20107,3,3+,high,10
6,61,20107,4+,0,low,11
6,61,20107,4+,0,med,8
6,61,20107,4+,0,high,0
6,61,20107,4+,1,low,94
6,61,20107,4+,1,med,26
6,61,20107,4+,1,high,10
6,61,20107,4+,2,low,28
6,61,20107,4+,2,med,14
6,61,20107,4+,2,high,20
6,61,20107,4+,3+,low,20
6,61,20107,4+,3+,med,54
6,61,20107,4+,3+,high,64
